colour_code,colour_name,product_line,set_size_ct,included
136,purple violet,Albrecht Durer watercolour pencils,72,1
137,blue violet,Polychromos Pastels,12,1
137,blue violet,Polychromos Pastels,24,1
137,blue violet,Polychromos Pastels,36,1
137,blue violet,Polychromos Pastels,60,1
138,violet,Pitt Pastel pencils,12,1
138,violet,Pitt Pastel pencils,24,1
138,violet,Pitt Pastel pencils,36,1
138,violet,Pitt Pastel pencils,60,1
140,light ultramarin,Polychromos colour pencils,12,1
140,light ultramarin,Polychromos colour pencils,24,1
140,light ultramarin,Polychromos colour pencils,36,1
140,light ultramarin,Polychromos colour pencils,60,1
140,light ultramarin,Polychromos colour pencils,72,1
140,light ultramarin,Polychromos Pastels,60,1
140,light ultramarin,Albrecht Durer watercolour pencils,12,1
140,light ultramarin,Albrecht Durer watercolour pencils,24,1
140,light ultramarin,Albrecht Durer watercolour pencils,36,1
140,light ultramarin,Albrecht Durer watercolour pencils,60,1
140,light ultramarin,Albrecht Durer watercolour pencils,72,1
140,light ultramarin,Albrecht Durer Magnus,12,1
140,light ultramarin,Albrecht Durer Magnus,24,1
140,light ultramarin,Albrecht Durer Magnus,30,1
140,light ultramarin,Pitt Pastel pencils,12,1
140,light ultramarin,Pitt Pastel pencils,24,1
140,light ultramarin,Pitt Pastel pencils,36,1
140,light ultramarin,Pitt Pastel pencils,60,1
141,Delft blue,Polychromos colour pencils,60,1
141,Delft blue,Polychromos colour pencils,72,1
141,Delft blue,Polychromos Pastels,60,1
141,Delft blue,Albrecht Durer watercolour pencils,60,1
141,Delft blue,Albrecht Durer watercolour pencils,72,1
142,madder,Polychromos colour pencils,60,1
142,madder,Polychromos colour pencils,72,1
142,madder,Albrecht Durer watercolour pencils,60,1
142,madder,Albrecht Durer watercolour pencils,72,1
143,cobalt blue,Polychromos colour pencils,72,1
143,cobalt blue,Albrecht Durer watercolour pencils,72,1
143,cobalt blue,Pitt Pastel pencils,24,1
143,cobalt blue,Pitt Pastel pencils,36,1
143,cobalt blue,Pitt Pastel pencils,60,1
145,light phthalo blue,Polychromos colour pencils,72,1
145,light phthalo blue,Polychromos Pastels,60,1
145,light phthalo blue,Albrecht Durer watercolour pencils,72,1
146,sky blue,Polychromos colour pencils,72,1
146,sky blue,Albrecht Durer watercolour pencils,72,1
149,bluish turquoise,Polychromos colour pencils,60,1
149,bluish turquoise,Polychromos colour pencils,72,1
149,bluish turquoise,Polychromos Pastels,36,1
149,bluish turquoise,Polychromos Pastels,60,1
149,bluish turquoise,Albrecht Durer watercolour pencils,60,1
149,bluish turquoise,Albrecht Durer watercolour pencils,72,1
149,bluish turquoise,Pitt Pastel pencils,24,1
149,bluish turquoise,Pitt Pastel pencils,36,1
149,bluish turquoise,Pitt Pastel pencils,60,1
151,helioblue reddish,Polychromos colour pencils,24,1
151,helioblue reddish,Polychromos colour pencils,36,1
151,helioblue reddish,Polychromos colour pencils,60,1
151,helioblue reddish,Polychromos colour pencils,72,1
151,helioblue reddish,Polychromos Pastels,60,1
151,helioblue reddish,Albrecht Durer watercolour pencils,24,1
151,helioblue reddish,Albrecht Durer watercolour pencils,36,1
151,helioblue reddish,Albrecht Durer watercolour pencils,60,1
151,helioblue reddish,Albrecht Durer watercolour pencils,72,1
151,helioblue reddish,Albrecht Durer Magnus,24,1
151,helioblue reddish,Albrecht Durer Magnus,30,1
151,helioblue reddish,Pitt Pastel pencils,12,1
151,helioblue reddish,Pitt Pastel pencils,24,1
151,helioblue reddish,Pitt Pastel pencils,36,1
151,helioblue reddish,Pitt Pastel pencils,60,1
153,cobalt turquoise,Polychromos colour pencils,36,1
153,cobalt turquoise,Polychromos colour pencils,60,1
153,cobalt turquoise,Polychromos colour pencils,72,1
153,cobalt turquoise,Polychromos Pastels,12,1
153,cobalt turquoise,Polychromos Pastels,24,1
153,cobalt turquoise,Polychromos Pastels,36,1
153,cobalt turquoise,Polychromos Pastels,60,1
153,cobalt turquoise,Albrecht Durer watercolour pencils,36,1
153,cobalt turquoise,Albrecht Durer watercolour pencils,60,1
153,cobalt turquoise,Albrecht Durer watercolour pencils,72,1
153,cobalt turquoise,Pitt Pastel pencils,60,1
154,light cobalt turquoise,Polychromos colour pencils,72,1
154,light cobalt turquoise,Polychromos Pastels,60,1
154,light cobalt turquoise,Albrecht Durer watercolour pencils,72,1
155,helio turquoise,Pitt Pastel pencils,60,1
156,cobalt green,Polychromos colour pencils,36,1
156,cobalt green,Polychromos colour pencils,60,1
156,cobalt green,Polychromos colour pencils,72,1
156,cobalt green,Polychromos Pastels,36,1
156,cobalt green,Polychromos Pastels,60,1
156,cobalt green,Albrecht Durer watercolour pencils,36,1
156,cobalt green,Albrecht Durer watercolour pencils,60,1
156,cobalt green,Albrecht Durer watercolour pencils,72,1
156,cobalt green,Albrecht Durer Magnus,30,1
156,cobalt green,Pitt Pastel pencils,36,1
156,cobalt green,Pitt Pastel pencils,60,1
157,dark indigo,Polychromos colour pencils,36,1
157,dark indigo,Polychromos colour pencils,60,1
157,dark indigo,Polychromos colour pencils,72,1
157,dark indigo,Polychromos Pastels,24,1
157,dark indigo,Polychromos Pastels,36,1
157,dark indigo,Polychromos Pastels,60,1
157,dark indigo,Albrecht Durer watercolour pencils,36,1
157,dark indigo,Albrecht Durer watercolour pencils,60,1
